received_at,raw_frame,sequence,tx_timestamp,parse_status
2026-09-25T16:03:19.292+08:00,"#0057,1790323402.19",57,1790323402.19,valid
2026-09-25T16:03:19.792+08:00,"#0058,1790323402.69",58,1790323402.69,valid
2026-09-25T16:03:20.292+08:00,"#0059,1790323403.19",59,1790323403.19,valid
2026-09-25T16:03:20.792+08:00,"#0060,1790323403.69",60,1790323403.69,valid
2026-09-25T16:03:21.292+08:00,"#0061,1790323404.19",61,1790323404.19,valid
2026-09-25T16:03:21.791+08:00,"#0062,1790323404.69",62,1790323404.69,valid
2026-09-25T16:03:22.292+08:00,"#0063,1790323405.19",63,1790323405.19,valid
2026-09-25T16:03:22.791+08:00,"#0064,1790323405.69",64,1790323405.69,valid
2026-09-25T16:03:23.292+08:00,"#0065,1790323406.19",65,1790323406.19,valid
2026-09-25T16:03:23.792+08:00,"#0066,1790323406.69",66,1790323406.69,valid
2026-09-25T16:03:24.292+08:00,"#0067,1790323407.19",67,1790323407.19,valid
2026-09-25T16:03:24.792+08:00,"#0068,1790323407.69",68,1790323407.69,valid
2026-09-25T16:03:25.292+08:00,"#0069,1790323408.19",69,1790323408.19,valid
2026-09-25T16:03:25.793+08:00,"#0070,1790323408.69",70,1790323408.69,valid
2026-09-25T16:03:26.292+08:00,"#0071,1790323409.19",71,1790323409.19,valid
2026-09-25T16:03:26.792+08:00,"#0072,1790323409.69",72,1790323409.69,valid
2026-09-25T16:03:27.292+08:00,"#0073,1790323410.19",73,1790323410.19,valid
2026-09-25T16:03:27.792+08:00,"#0074,1790323410.69",74,1790323410.69,valid
2026-09-25T16:03:28.292+08:00,"#0075,1790323411.19",75,1790323411.19,valid
2026-09-25T16:03:28.792+08:00,"#0076,1790323411.69",76,1790323411.69,valid
2026-09-25T16:03:29.292+08:00,"#0077,1790323412.19",77,1790323412.19,valid
2026-09-25T16:03:29.792+08:00,"#0078,1790323412.69",78,1790323412.69,valid
2026-09-25T16:03:30.292+08:00,"#0079,1790323413.19",79,1790323413.19,valid
2026-09-25T16:03:30.793+08:00,"#0080,1790323413.69",80,1790323413.69,valid
2026-09-25T16:03:31.292+08:00,"#0081,1790323414.19",81,1790323414.19,valid
2026-09-25T16:03:31.792+08:00,"#0082,1790323414.69",82,1790323414.69,valid
2026-09-25T16:03:32.292+08:00,"#0083,1790323415.19",83,1790323415.19,valid
2026-09-25T16:03:32.792+08:00,"#0084,1790323415.69",84,1790323415.69,valid
2026-09-25T16:03:33.292+08:00,"#0085,1790323416.19",85,1790323416.19,valid
2026-09-25T16:03:33.792+08:00,"#0086,1790323416.69",86,1790323416.69,valid
2026-09-25T16:03:34.293+08:00,"#0087,1790323417.19",87,1790323417.19,valid
2026-09-25T16:03:34.793+08:00,"#0088,1790323417.69",88,1790323417.69,valid
2026-09-25T16:03:35.293+08:00,"#0089,1790323418.19",89,1790323418.19,valid
2026-09-25T16:03:35.792+08:00,"#0090,1790323418.69",90,1790323418.69,valid
2026-09-25T16:03:36.292+08:00,"#0091,1790323419.19",91,1790323419.19,valid
2026-09-25T16:03:36.792+08:00,"#0092,1790323419.69",92,1790323419.69,valid
2026-09-25T16:03:37.292+08:00,"#0093,1790323420.19",93,1790323420.19,valid
2026-09-25T16:03:37.793+08:00,"#0094,1790323420.69",94,1790323420.69,valid
2026-09-25T16:03:38.293+08:00,"#0095,1790323421.19",95,1790323421.19,valid
2026-09-25T16:03:38.793+08:00,"#0096,1790323421.69",96,1790323421.69,valid
2026-09-25T16:03:39.293+08:00,"#0097,1790323422.19",97,1790323422.19,valid
2026-09-25T16:03:39.793+08:00,"#0098,1790323422.69",98,1790323422.69,valid
2026-09-25T16:03:40.293+08:00,"#0099,1790323423.19",99,1790323423.19,valid
2026-09-25T16:03:40.792+08:00,"#0100,1790323423.69",100,1790323423.69,valid
2026-09-25T16:03:41.292+08:00,"#0101,1790323424.19",101,1790323424.19,valid
2026-09-25T16:03:41.792+08:00,"#0102,1790323424.69",102,1790323424.69,valid
2026-09-25T16:03:42.292+08:00,"#0103,1790323425.19",103,1790323425.19,valid
2026-09-25T16:03:42.792+08:00,"#0104,1790323425.69",104,1790323425.69,valid
2026-09-25T16:03:43.292+08:00,"#0105,1790323426.19",105,1790323426.19,valid
2026-09-25T16:03:43.793+08:00,"#0106,1790323426.69",106,1790323426.69,valid
2026-09-25T16:03:44.293+08:00,"#0107,1790323427.19",107,1790323427.19,valid
2026-09-25T16:03:44.793+08:00,"#0108,1790323427.69",108,1790323427.69,valid
2026-09-25T16:03:45.294+08:00,"#0109,1790323428.19",109,1790323428.19,valid
2026-09-25T16:03:45.792+08:00,"#0110,1790323428.69",110,1790323428.69,valid
2026-09-25T16:03:46.292+08:00,"#0111,1790323429.19",111,1790323429.19,valid
2026-09-25T16:03:46.792+08:00,"#0112,1790323429.69",112,1790323429.69,valid
2026-09-25T16:03:47.292+08:00,"#0113,1790323430.19",113,1790323430.19,valid
2026-09-25T16:03:47.792+08:00,"#0114,1790323430.69",114,1790323430.69,valid
2026-09-25T16:03:48.293+08:00,"#0115,1790323431.19",115,1790323431.19,valid
2026-09-25T16:03:48.793+08:00,"#0116,1790323431.69",116,1790323431.69,valid
2026-09-25T16:03:49.293+08:00,"#0117,1790323432.19",117,1790323432.19,valid
2026-09-25T16:03:49.793+08:00,"#0118,1790323432.69",118,1790323432.69,valid
2026-09-25T16:03:50.292+08:00,"#0119,1790323433.19",119,1790323433.19,valid
2026-09-25T16:03:50.793+08:00,"#0120,1790323433.69",120,1790323433.69,valid
